Model,Metrics,Values,MetricType
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.168322375933764,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8933714665912023,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.425608102553105,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.560610362745206,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9182489923761796,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8601746049418195,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.820370830842731,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.820067475626664,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.730835241030638,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.58186066291473,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8151143131696266,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.188117470778969,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.439109239185275,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.004286426388198,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.407620851290132,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4061016004795555,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.766917231660565,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.215141571387647,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7020279478626197,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.3945465856863164,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9550517656785105,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.078630498207512,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.210447170233164,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.2065593618651422,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.57655499352126,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.505728435002134,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5938658210099037,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4615536157946445,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9145128452771925,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8778377384659644,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9384676120893802,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9446970773879055,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.3431629385722226,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8633047492545627,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5477094391980404,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6990082877127093,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5820237703282047,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.3043928531377076,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.53804403444866,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7183739968451293,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4319645124527,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.731891622494365,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7918894976230972,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9620324412374153,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.1864455439184507,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5353514624818776,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.277570716678091,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.912032215502551,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5629006755824655,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.880343472615442,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9119942677147925,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7285341190043213,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9229656600285865,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5533070987717945,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7012709258222443,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9569625835831506,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4739427673486234,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.3627035580211047,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.3529419387940034,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8388539214648283,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.435480340442479,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4738793574356577,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5867223694660324,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4960756249463714,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5902241846696303,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.892072631288804,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.71411640770475,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6167666862636914,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6559522292933995,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.3532114793356613,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7718215911615993,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.671622714175833,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.787993003092841,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.659841030208638,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8309642389945875,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.44225377813499,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7187503974711005,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7709195367206747,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6396851440468287,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5597089507153497,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5054611514528626,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.412071570747601,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9724521860583444,fft
SKZFC_ART_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.754602070180368,fft
